category,datetime,headline,id,image,related,source,summary,url
company,1623083372,"After Hours Most Active for Jun 7, 2021 :  PBR, IBN, CLOV, KO, SU, CSCO, TSM, AAPL, GLW, GILD, SESN, INTC",68003344,https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg?1876097475,AAPL,Nasdaq,"The NASDAQ 100 After Hours Indicator is up 8.3 to 13,811.19.  The total After hours volume is currently 74,294,565 shares traded.The following are the most active stocks for the after hours session: Petroleo Brasileiro S.A.- Petrobras (PBR) is -0.03 at $11.40, with 4,938,717 shar",https://finnhub.io/api/news?id=58a8f5d980b5f6d2103f76ebd7c91c911a091f49bef4c666e580fbdcab937d24
company,1623082599,"Loup Ventures' Gene Munster on tech stocks, consolidations",68017915,https://image.cnbcfm.com/api/v1/image/106893474-image--1--jpg?v=1623099974,AAPL,CNBC,"Loup Ventures founder Gene Munster joins ‘Closing Bell’ to discuss his thoughts on Big Tech as well as consolidations within the tech industry. He discusses Apple, Amazon, Zillow and Opendoor.",https://finnhub.io/api/news?id=dd425f8cd05d9eb3605405d52881e2c0a6bb35c33d481caf2cfdb648b4ded07b
company,1623082500,"Apple previews new software for iPhone, other gadgets",68016011,,AAPL,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f7605ea02b2f9d2d89fa6bb2dc6d8bc0c6188f4c3324fee8e3b9b4de95530cdb
company,1623082059,Apple Employees Don't Ever Want to Go Back to the Office,68004797,https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg?2133915114,AAPL,Nasdaq,Employees of Apple (NASDAQ: AAPL) are grousing about having to return to the office.,https://finnhub.io/api/news?id=13c7ed7e35d62b9875b0516c489dac5416f71719354f9092aa3ad3e225afe88e
company,1623081875,Android and Windows users will be allowed to join Apple FaceTime calls this fall,68017918,https://image.cnbcfm.com/api/v1/image/106893439-1623095563942-ipados-15.png?v=1623095637,AAPL,CNBC,Apple announced that anyone — including Android and Windows users — will soon be able to join FaceTime calls. ,https://finnhub.io/api/news?id=a4c3bfabb98955d59a6a760199ce8b32c2a477f50314562ab8d7cae65e1c4034
company,1623080100,Apple launches Xcode Cloud continuous integration system,68016013,,AAPL,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7132a6c72f590f8a85c399f6376da02ffd402e87afdbf8ffe8b12d2e884e0f9e
company,1623080014,"GLOBAL MARKETS-Stocks hover near record highs, oil hits two-year high",67997740,https://www.nasdaq.com/sites/acquia.prod/files/2021-06-07T120046Z_1_TW6_RTRLXPP_2_LYNXPACKAGER.JPG?760460621,AAPL,Nasdaq,"A gauge of global equity markets hovered off a record peak on Monday as technology shares took in stride a deal by the world's richest nations on a corporate tax aimed at U.S. tech heavyweights, and oil prices jumped to a two-year high.",https://finnhub.io/api/news?id=91d3b0923a20adc8e3f465a5d11a6444aafc71559e068d8556ca9a197534ac50
company,1623078425,Op-ed: Quality TV news could be a casualty of the streaming wars,68000241,https://image.cnbcfm.com/api/v1/image/106893394-1623092351055-gettyimages-1297997669-waltercronkite1916-2009broadcastingforcbsatthegopconventioni.jpeg?v=1623092410,AAPL,CNBC,"Tom Rogers, the first president of NBC Cable, lays out the quandary for the TV news business in light of cord-cutting and increased competition.",https://finnhub.io/api/news?id=224e641bc3754431f8f76f735ad6ba571d082a2428c49fae516f03a71194bb62
company,1623077100,Apple Introduces New Developer Tools and Technologies to Create Even Better Apps,68016026,,AAPL,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=864958f2b8bda8c7c5632838e10c7f50ded64516bb9488596cf1496d7f67e875
company,1623077100,"watchOS 8 Brings New Access, Connectivity, and Mindfulness Features to Apple Watch",68016024,,AAPL,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=864add70728720e623243840e4481edb5c7630391d8ddc9cd437e0aaaae73e76
