date,close,high,low,open,status,volume
2021-05-03 04:00:00,132.03,132.25,131.84,131.9,ok,8596
2021-05-03 04:05:00,132.15,132.2,131.99,132.0,ok,5129
2021-05-03 04:10:00,132.09,132.3,132.09,132.16,ok,6317
2021-05-03 04:15:00,132.09,132.2,132.09,132.14,ok,22946
2021-05-03 04:20:00,131.96,132.04,131.92,132.03,ok,4739
2021-05-03 04:25:00,132.06,132.06,131.95,132.0,ok,2939
2021-05-03 04:35:00,132.01,132.03,132.01,132.03,ok,826
2021-05-03 04:40:00,132.0,132.01,131.95,132.01,ok,2411
2021-05-03 04:45:00,132.11,132.11,132.0,132.0,ok,1052
2021-05-03 05:30:00,131.57,131.7,131.5,131.61,ok,6870
2021-05-03 05:35:00,131.65,131.67,131.57,131.6,ok,4820
2021-05-03 05:55:00,131.65,131.65,131.61,131.61,ok,1202
2021-05-03 06:00:00,131.7,131.7,131.68,131.68,ok,609
2021-05-03 06:30:00,131.99,131.99,131.85,131.85,ok,4356
2021-05-03 06:35:00,132.05,132.13,131.99,131.99,ok,7490
2021-05-03 06:40:00,132.05,132.05,132.01,132.02,ok,4862
2021-05-03 06:45:00,131.93,132.05,131.91,132.05,ok,1886
2021-05-03 06:50:00,131.8,131.96,131.78,131.96,ok,5756
2021-05-03 06:55:00,131.67,131.8,131.67,131.8,ok,5392
2021-05-03 07:00:00,131.99,131.99,131.66,131.74,ok,33516
2021-05-03 07:05:00,131.87,131.98,131.82,131.98,ok,11828
2021-05-03 07:10:00,131.85,131.91,131.79,131.85,ok,14896
2021-05-03 07:15:00,131.95,132.06,131.89,131.89,ok,30831
2021-05-03 07:20:00,132.07,132.08,131.9,131.96,ok,10136
2021-05-03 07:25:00,132.1,132.16,132.04,132.08,ok,19034
2021-05-03 07:30:00,132.04,132.1,131.97,132.07,ok,15264
2021-05-03 07:35:00,132.08,132.08,132.01,132.05,ok,34950
2021-05-03 07:40:00,132.02,132.06,131.94,132.06,ok,29295
2021-05-03 07:45:00,132.05,132.23,131.96,132.0,ok,26673
2021-05-03 07:50:00,132.07,132.09,132.04,132.04,ok,5137
2021-05-03 07:55:00,132.04,132.08,132.04,132.08,ok,6036
2021-05-03 08:00:00,132.0,132.08,131.98,132.039,ok,181700
2021-05-03 08:05:00,132.02,132.07,131.99,131.99,ok,20338
2021-05-03 08:10:00,132.03,132.04,132.0,132.02,ok,19023
2021-05-03 08:15:00,132.01,132.07,132.01,132.069,ok,26576
2021-05-03 08:20:00,132.02,132.07,132.01,132.03,ok,20264
2021-05-03 08:25:00,132.0,132.05,131.98,132.02,ok,55154
2021-05-03 08:30:00,132.04,132.1,131.99,132.0,ok,25553
2021-05-03 08:35:00,132.08,132.08,132.01,132.04,ok,22183
2021-05-03 08:40:00,132.15,132.15,132.04,132.07,ok,25979
2021-05-03 08:45:00,132.15,132.18,132.13,132.17,ok,16088
2021-05-03 08:50:00,132.18,132.19,132.16,132.16,ok,24599
2021-05-03 08:55:00,132.15,132.19,132.12,132.17,ok,33607
2021-05-03 09:00:00,132.14,132.16,132.09,132.13,ok,28190
